"Year","region","name","state","cbsa","rp","tax_rate","vac_rate","interp_rp","interp_tax","interp_vac","net_yield","extrap_tax_1","net_yield_1","extrap_tax_0.5","net_yield_0.5"
2000,7040,"St. Louis","MO",41180,NA,NA,NA,0.0971631293294682,8.21733333333333,0.071607271042432,0.0662575819717831,8.21733333333333,0.0662575819717831,8.21733333333333,0.0662575819717831
2001,7040,"St. Louis","MO",41180,0.0989399310771402,NA,0.143214542084864,0.0989399310771402,8.21806666666667,0.143214542084864,0.0611819569849414,8.21806666666667,0.0611819569849414,8.21806666666667,0.0611819569849414
2002,7040,"St. Louis","MO",41180,NA,NA,NA,0.0943040798457816,8.2188,0.138666567562054,0.0578730896615263,8.2188,0.0578730896615263,8.2188,0.0578730896615263
2003,7040,"St. Louis","MO",41180,0.089668228614423,NA,0.134118593039244,0.089668228614423,8.21953333333333,0.134118593039244,0.0545248505745622,8.21953333333333,0.0545248505745622,8.21953333333333,0.0545248505745622
2004,7040,"St. Louis","MO",41180,NA,NA,NA,0.0869082596422665,8.22026666666667,0.113847386131938,0.053937687812002,8.22026666666667,0.053937687812002,8.22026666666667,0.053937687812002
2005,7040,"St. Louis","MO",41180,0.08414829067011,8.221,0.093576179224631,0.08414829067011,8.221,0.093576179224631,0.0532460479370746,8.221,0.0532460479370746,8.221,0.0532460479370746
2006,7040,"St. Louis","MO",41180,NA,NA,NA,0.079558046397066,8.48514285714286,0.0467880896123155,0.0525726291245699,8.48514285714286,0.0525726291245699,8.48514285714286,0.0525726291245699
2007,7040,"St. Louis","MO",41180,0.0749678021240221,NA,0,0.0749678021240221,8.74928571428571,0,0.0514981511289137,8.74928571428571,0.0514981511289137,8.74928571428571,0.0514981511289137
2008,7040,"St. Louis","MO",41180,NA,NA,NA,0.0890739344458205,9.01342857142857,0.0568956230461695,0.0596729899200976,9.01342857142857,0.0596729899200976,9.01342857142857,0.0596729899200976
2009,7040,"St. Louis","MO",41180,0.103180066767619,NA,0.113791246092339,0.103180066767619,9.27757142857143,0.113791246092339,0.0663490960718661,9.27757142857143,0.0663490960718661,9.27757142857143,0.0663490960718661
2010,7040,"St. Louis","MO",41180,NA,NA,NA,0.0969031422624065,9.54171428571429,0.102352340165517,0.061926067126836,9.54171428571429,0.061926067126836,9.54171428571429,0.061926067126836
2011,7040,"St. Louis","MO",41180,0.090626217757194,NA,0.0909134342386944,0.090626217757194,9.80585714285714,0.0909134342386944,0.0573689567163036,9.80585714285714,0.0573689567163036,9.80585714285714,0.0573689567163036
2012,7040,"St. Louis","MO",41180,NA,10.07,NA,0.0900348777847209,10.07,0.100941670894374,0.05575984675269,10.07,0.05575984675269,10.07,0.05575984675269
2013,7040,"St. Louis","MO",41180,0.0894435378122478,NA,0.110969907550053,0.0894435378122478,10.07,0.110969907550053,0.0544259535097079,10.3661114488728,0.0541298420608351,10.2180557244364,0.0542778977852715
2014,7040,"St. Louis","MO",41180,NA,NA,NA,0.0894435378122478,10.07,0.110969907550053,0.0544259535097079,10.670930146023,0.0538250233636849,10.3682882609422,0.0541276652487657
1985,7320,"San Diego","CA",41740,0.0709133502731197,5.11,0,0.0709133502731197,5.11,0,0.0513517951500119,5.11,0.0513517951500119,5.11,0.0513517951500119
1986,7320,"San Diego","CA",41740,NA,NA,NA,0.0727931987064183,5.11,0.0150929653051506,0.0520811859139094,5.11,0.0520811859139094,5.11,0.0520811859139094
1987,7320,"San Diego","CA",41740,0.074673047139717,NA,0.0301859306103012,0.074673047139717,5.11,0.0301859306103012,0.052757593895242,5.11,0.052757593895242,5.11,0.052757593895242
1988,7320,"San Diego","CA",41740,NA,NA,NA,0.0688286643123454,5.11,0.0336983251222406,0.0472396900906322,5.11,0.0472396900906322,5.11,0.0472396900906322
1989,7320,"San Diego","CA",41740,0.0629842814849738,NA,0.0372107196341801,0.0629842814849738,5.11,0.0372107196341801,0.0417601198589744,5.11,0.0417601198589744,5.11,0.0417601198589744
1990,7320,"San Diego","CA",41740,NA,5.11,NA,0.0608287302483275,5.11,0.042627272166,0.039514736029335,5.11,0.039514736029335,5.11,0.039514736029335
1991,7320,"San Diego","CA",41740,0.0586731790116812,NA,0.0480438246978199,0.0586731790116812,5.08724666666667,0.0480438246978199,0.0373139086539926,5.08724666666667,0.0373139086539926,5.08724666666667,0.0373139086539926
